thresh 192: 4590595182.0, eslapsed time: 30.695595026016235s
new optimal
thresh 193: 4632991646.0, eslapsed time: 31.483827829360962s
thresh 194: 4675238494.0, eslapsed time: 30.469027280807495s
thresh 195: 4717204410.0, eslapsed time: 31.88371515274048s
thresh 196: 4758829370.0, eslapsed time: 30.70569086074829s
thresh 197: 4766637346.0, eslapsed time: 31.592076778411865s
thresh 198: 4800377310.0, eslapsed time: 31.882463932037354s
thresh 199: 4840407584.0, eslapsed time: 31.712384939193726s
thresh 200: 4879163402.0, eslapsed time: 31.538774728775024s
thresh 201: 4916876016.0, eslapsed time: 33.137381076812744s
thresh 202: 4954096208.0, eslapsed time: 31.578219175338745s
thresh 203: 4991660010.0, eslapsed time: 32.671507835388184s
thresh 204: 4998829908.0, eslapsed time: 32.10118508338928s
thresh 205: 5029629160.0, eslapsed time: 32.20818614959717s
thresh 206: 5066168506.0, eslapsed time: 31.966084003448486s
thresh 207: 5101795658.0, eslapsed time: 32.32935905456543s
thresh 208: 5136432616.0, eslapsed time: 31.817187070846558s
thresh 209: 5170984324.0, eslapsed time: 33.62348294258118s
thresh 210: 5204466528.0, eslapsed time: 31.901792764663696s
thresh 211: 5210831958.0, eslapsed time: 31.863513946533203s
thresh 212: 5238037746.0, eslapsed time: 32.486921310424805s
thresh 213: 5270423044.0, eslapsed time: 33.44446802139282s
thresh 214: 5302132104.0, eslapsed time: 31.99822211265564s
thresh 215: 5333656308.0, eslapsed time: 32.66167426109314s
thresh 216: 5364862214.0, eslapsed time: 32.289742946624756s
thresh 217: 5395602106.0, eslapsed time: 32.307660818099976s
thresh 218: 5401775568.0, eslapsed time: 31.832520961761475s
thresh 219: 5426750132.0, eslapsed time: 31.547668933868408s
thresh 220: 5456610972.0, eslapsed time: 31.909401893615723s
thresh 221: 5485854684.0, eslapsed time: 32.573375940322876s
thresh 222: 5514287686.0, eslapsed time: 41.03951692581177s
thresh 223: 5541731006.0, eslapsed time: 35.40626811981201s
thresh 224: 5567979908.0, eslapsed time: 35.13872408866882s
thresh 225: 5574623054.0, eslapsed time: 38.34177899360657s
thresh 226: 5596509852.0, eslapsed time: 33.31148910522461s
thresh 227: 5622480872.0, eslapsed time: 34.771684885025024s
thresh 228: 5648106334.0, eslapsed time: 34.32725405693054s
thresh 229: 5673514176.0, eslapsed time: 35.15664720535278s
thresh 230: 5699047072.0, eslapsed time: 34.8731529712677s
thresh 231: 5724698036.0, eslapsed time: 31.880990982055664s
thresh 232: 5734551160.0, eslapsed time: 31.449425220489502s
thresh 233: 5757591574.0, eslapsed time: 38.369680881500244s
thresh 234: 5785000700.0, eslapsed time: 34.35334610939026s
thresh 235: 5813128032.0, eslapsed time: 31.436909198760986s
thresh 236: 5841908172.0, eslapsed time: 31.169342279434204s
thresh 237: 5871204676.0, eslapsed time: 31.46057915687561s
thresh 238: 5899044698.0, eslapsed time: 31.29129910469055s
thresh 239: 5909471684.0, eslapsed time: 31.108556985855103s
thresh 240: 5932076570.0, eslapsed time: 31.32957696914673s
thresh 241: 5955662750.0, eslapsed time: 31.38430905342102s
thresh 242: 5978764156.0, eslapsed time: 30.896185159683228s
thresh 243: 6001604394.0, eslapsed time: 31.009979963302612s
thresh 244: 6023131876.0, eslapsed time: 30.669908046722412s
thresh 245: 6043551710.0, eslapsed time: 30.15788698196411s
thresh 246: 6053461108.0, eslapsed time: 30.198542833328247s
thresh 247: 6072796764.0, eslapsed time: 30.425965785980225s
thresh 248: 6096316886.0, eslapsed time: 31.118081092834473s
thresh 249: 6123949202.0, eslapsed time: 31.26565408706665s
thresh 250: 6154649848.0, eslapsed time: 31.491119146347046s
thresh 251: 6186616440.0, eslapsed time: 32.08217191696167s
thresh 252: 6219024900.0, eslapsed time: 30.742536067962646s
thresh 253: 6236610416.0, eslapsed time: 31.849552154541016s
thresh 254: 6280637092.0, eslapsed time: 30.82044529914856s
thresh 255: 6391296000.0, eslapsed time: 31.01569390296936s
