
                                                                                                               
1/1
C:\Users\mgkid\Anaconda3\envs\OpenCV\python.exe
3.7.4 (default, Aug  9 2019, 18:34:13) [MSC v.1915 64 bit (AMD64)]
3.4.2
frame size: 1280.0 by 720.0
frame count: 6935.0
pixel count: 6391.296M
thresh 128: 1610923856.0, eslapsed time: 35.45468020439148s
new optimal
thresh 129: 1652094170.0, eslapsed time: 35.440146684646606s
thresh 130: 1694813030.0, eslapsed time: 35.32515740394592s
thresh 131: 1738224878.0, eslapsed time: 35.526264667510986s
thresh 132: 1784334714.0, eslapsed time: 35.562844038009644s
thresh 133: 1792755870.0, eslapsed time: 35.4481520652771s
thresh 134: 1833408760.0, eslapsed time: 35.37335276603699s
thresh 135: 1888530294.0, eslapsed time: 35.359976053237915s
thresh 136: 1945138988.0, eslapsed time: 35.486077070236206s
thresh 137: 2001625334.0, eslapsed time: 35.421231508255005s
thresh 138: 2057846034.0, eslapsed time: 35.373334646224976s
thresh 139: 2115173390.0, eslapsed time: 35.42917227745056s
thresh 140: 2126080046.0, eslapsed time: 35.35575294494629s
thresh 141: 2174243840.0, eslapsed time: 35.473085165023804s
thresh 142: 2233953904.0, eslapsed time: 35.55788493156433s
thresh 143: 2295621586.0, eslapsed time: 35.557929277420044s
thresh 144: 2359375230.0, eslapsed time: 35.37171268463135s
thresh 145: 2423969348.0, eslapsed time: 35.27359485626221s
thresh 146: 2488294108.0, eslapsed time: 35.406550884246826s
thresh 147: 2500281940.0, eslapsed time: 35.59798288345337s
thresh 148: 2552374278.0, eslapsed time: 35.85011625289917s
thresh 149: 2615854998.0, eslapsed time: 35.63068699836731s
thresh 150: 2677928808.0, eslapsed time: 35.4700882434845s
thresh 151: 2739138518.0, eslapsed time: 35.60573720932007s
thresh 152: 2799602064.0, eslapsed time: 35.519986152648926s
thresh 153: 2858849738.0, eslapsed time: 35.947959423065186s
thresh 154: 2869335128.0, eslapsed time: 35.537951707839966s
thresh 155: 2916580024.0, eslapsed time: 35.501996994018555s
thresh 156: 2972589042.0, eslapsed time: 35.37439584732056s
thresh 157: 3026804146.0, eslapsed time: 35.479342460632324s
thresh 158: 3079617278.0, eslapsed time: 35.309002161026s
thresh 159: 3132226320.0, eslapsed time: 35.804585218429565s
thresh 160: 3186301728.0, eslapsed time: 35.674548864364624s
thresh 161: 3197430278.0, eslapsed time: 35.867250204086304s
thresh 162: 3247795348.0, eslapsed time: 35.39316534996033s
thresh 163: 3308897520.0, eslapsed time: 35.38532018661499s
thresh 164: 3369905434.0, eslapsed time: 35.508044719696045s
thresh 165: 3429532456.0, eslapsed time: 35.46152949333191s
thresh 166: 3488116382.0, eslapsed time: 35.45342707633972s
thresh 167: 3545629076.0, eslapsed time: 35.875277042388916s
thresh 168: 3556316298.0, eslapsed time: 35.58079934120178s
thresh 169: 3602601184.0, eslapsed time: 35.54291820526123s
thresh 170: 3659085738.0, eslapsed time: 35.4651141166687s
thresh 171: 3714577862.0, eslapsed time: 35.31693887710571s
thresh 172: 3768698172.0, eslapsed time: 35.44516110420227s
thresh 173: 3822022628.0, eslapsed time: 35.356218099594116s
thresh 174: 3875025362.0, eslapsed time: 35.39165282249451s
thresh 175: 3927112762.0, eslapsed time: 35.41524338722229s
thresh 176: 3937067326.0, eslapsed time: 35.302568435668945s
thresh 177: 3978588474.0, eslapsed time: 35.32147479057312s
thresh 178: 4029080570.0, eslapsed time: 35.48178243637085s
thresh 179: 4079257480.0, eslapsed time: 35.76928973197937s
thresh 180: 4129295394.0, eslapsed time: 35.49502611160278s
thresh 181: 4179027734.0, eslapsed time: 35.47411775588989s
thresh 182: 4227671420.0, eslapsed time: 35.45712924003601s
thresh 183: 4236723544.0, eslapsed time: 35.306533098220825s
thresh 184: 4275504572.0, eslapsed time: 35.895461559295654s
thresh 185: 4322456216.0, eslapsed time: 35.48807215690613s
thresh 186: 4368886404.0, eslapsed time: 35.49553561210632s
thresh 187: 4414700028.0, eslapsed time: 35.417076110839844s
thresh 188: 4459722776.0, eslapsed time: 35.32235527038574s
thresh 189: 4503973414.0, eslapsed time: 35.41826820373535s
thresh 190: 4511959124.0, eslapsed time: 35.52391719818115s
thresh 191: 4547720382.0, eslapsed time: 35.94183087348938s
total eslapsed time: 2272.0920135974884s
optimal threshold: 128 at diff_sum 1610923856.0
